BD_ID,Northing,Easting,PC,LOI,CD,BD,Dc,De,Elev_m,CostalBlue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2,NDVI,NDWI,dis_inlet,Location,Platform,MSAVI,VARI,BNDVI,CIG,CVI,GARI,GBNDVI,MCARI1,tidal_heigh,tidal_range,MHW_old,NDWI15m,NDVI15m,NDWI30m,NDVI30m,H_old,Location1,POC_Modis(20),IH,POC_2019,PIC_20years,PIC_2019,TPC_2019,SST_2019,POC/PIC_Ratio_2019,PIC_Modis2019,POC/PIC_Ratio,PIC_2018,PIC_2020,UVVR_Median,UVVR_Mean,NDWI60m,NDVI60m,MHW,H
WP_BD_21,4597430.663,328820.773,28.6009828,0.5725189,0.04579,0.1601,21.83366055,483.1290283,0.674,334,296,330,313,273,359,520,380,0.31147541,-0.223529412,2692,Westport,,0.974760228,0.185667752,0.274509804,0.575757576,1.303581267,1.275449102,-0.092495637,444.6,2.19,1.0546,0.68,-0.031093608,0.268799094,-0.043240959,0.281435426,0.006,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.363
WP_BD_22,4597435.57,328801.991,22.7796816,0.4605708,0.04518,0.19833,2.65712567,473.47229,0.683,343,308,352,340,321,371,543,368,0.256944444,-0.213407821,2692,Westport,,0.908617266,0.084931507,0.276145711,0.542613636,1.406758458,0.87254902,-0.097256858,368.04,2.19,1.0546,0.68,-0.01307715,0.244008542,0.02818735,0.219290444,-0.003,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.372
WP_BD_23,4597440.187,328776.168,29.5647508,0.5910529,0.04451,0.15054,6.555004669,451.47229,0.677,354,329,374,390,367,431,613,445,0.251020408,-0.242147923,2692,Westport,,0.901109119,0.016990291,0.3014862,0.639037433,1.608360262,0.725631769,-0.068389058,365.16,2.19,1.0546,0.68,0.025527453,0.233382464,0.07176712,0.194313872,0.003,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.366
WP_BD_24,4597429.334,328771.231,24.9595476,0.5024913,0.04413,0.17682,7.735149286,440.4013672,0.727,341,303,347,338,315,373,543,401,0.265734266,-0.220224719,2692,Westport,,0.919665243,0.08913649,0.283687943,0.564841499,1.420533349,0.884615385,-0.089689858,378.24,2.19,1.0546,0.68,0.04966307,0.204137801,0.080604056,0.18066555,-0.047,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.416
WP_BD_25,4597425.266,328769.863,19.31098,0.393865,0.04753,0.24612,8.256006907,435.572998,0.59,346,317,376,362,334,394,577,389,0.266739846,-0.210912907,2692,Westport,,0.920932627,0.106870229,0.29082774,0.534574468,1.363159235,0.844036697,-0.091338583,415.44,2.19,1.0546,0.68,0.115346909,0.158497787,0.077829107,0.178107007,0.09,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.279
WP_BD_26,4597421.334,328767.287,17.47395,0.3585375,0.03758,0.21505,4.779919723,427.9162598,0.573,337,295,325,306,275,308,431,296,0.220963173,-0.14021164,2692,Westport,,0.861681128,0.163934426,0.187327824,0.326153846,1.122130178,1.465116279,-0.179828735,302.64,2.19,1.0546,0.68,0.150873762,0.139498254,0.069497134,0.177170196,0.107,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.262
WP_BD_27,4597426.753,328763.575,16.028454,0.3307395,0.03792,0.23656,2.640991281,431.7446289,0.545,336,298,329,308,275,322,463,315,0.254742547,-0.169191919,2692,Westport,,0.905787123,0.176470588,0.216819974,0.407294833,1.176310271,1.414414414,-0.150458716,354.96,2.19,1.0546,0.68,0.095542474,0.168609743,0.072793355,0.182657606,0.135,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.234
WP_BD_28,4597444.115,328772.722,21.356166,0.4331955,0.05001,0.23417,1.716153565,453.47229,0.343,342,305,351,344,317,369,532,369,0.253239105,-0.204983012,2692,Westport,,0.903909054,0.093663912,0.271206691,0.515669516,1.368852526,0.875647668,-0.104377104,362.64,2.19,1.0546,0.68,0.038633504,0.227557946,0.044434906,0.212038974,0.337,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.032
WP_BD_29,4597446.967,328716.832,29.7887096,0.5953598,0.04983,0.16726,8.887353044,396.1290283,0.442,338,299,347,345,320,389,545,375,0.260115607,-0.221973094,2692,Westport,,0.912621683,0.073369565,0.291469194,0.570605187,1.448396715,0.808219178,-0.084802687,366.12,2.19,1.0546,0.68,-0.087694737,0.244715563,-0.024565516,0.235085865,0.238,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.131
WP_BD_30,4597473.454,328693.995,27.2227332,0.5460141,0.0644,0.23656,7.472177754,465.6552734,0.4,352,317,367,385,350,423,571,424,0.239956569,-0.217484009,2692,Westport,,0.88683258,0.0425,0.286036036,0.555858311,1.48378858,0.721518987,-0.090039841,344.76,2.19,1.0546,0.68,0.019631026,0.218271854,0.031869389,0.226991025,0.28,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.089
WP_BD_31,4597475.24,328691.491,16.3517536,0.3369568,0.0379,0.23178,4.968177755,467.6552734,0.397,338,297,327,319,283,343,480,325,0.25819135,-0.189591078,2692,Westport,,0.910164657,0.14057508,0.235521236,0.467889908,1.27037567,1.201438849,-0.130434783,352.32,2.19,1.0546,0.68,0.030772058,0.222602177,0.027721365,0.228063685,0.283,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.086
WP_BD_32,4597496.999,328647.002,29.4672768,0.5891784,0.04295,0.14576,9.825066553,394.5134277,0.437,355,336,400,410,395,448,649,469,0.243295019,-0.237368923,2692,Westport,,0.891187858,0.010893246,0.317766497,0.6225,1.60221875,0.616883117,-0.062815884,373.56,2.19,1.0546,0.68,-0.065099917,0.24233383,-0.04662704,0.242981489,0.243,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.126
WP_BD_33,4597508.275,328568.051,23.3895064,0.4722982,0.03689,0.15771,6.062568543,205.8637695,0.393,334,293,316,301,273,303,415,286,0.206395349,-0.135430917,2692,Westport,,0.841897586,0.14527027,0.172316384,0.313291139,1.134583801,1.506329114,-0.189453125,271.56,2.19,1.0546,0.68,-0.046804378,0.230652919,-0.026256973,0.23469994,0.287,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.082
WP_BD_34,4597516.032,328528.264,25.4974876,0.5128363,0.04204,0.16487,3.436301145,223.8592822,0.427,358,334,394,416,398,442,608,425,0.208747515,-0.213572854,2692,Westport,,0.845208849,-0.008733624,0.290870488,0.543147208,1.558813677,0.539568345,-0.089820359,296.16,2.19,1.0546,0.68,-0.004392653,0.217011566,0.053782851,0.200939748,0.253,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.116
WP_BD_35,4597507.862,328497.195,26.18083,0.5259775,0.04692,0.17921,4.644309395,189.6465137,0.401,340,310,347,339,311,367,524,380,0.25508982,-0.203214696,2692,Westport,,0.906258385,0.103448276,0.256594724,0.510086455,1.353420425,0.988764045,-0.112616427,362.88,2.19,1.0546,0.68,-0.019578992,0.220241266,0.076345361,0.165309496,0.279,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.09
WP_BD_36,4597497.03,328479.019,25.0060408,0.5033854,0.05139,0.2055,4.475919722,165.0904834,0.351,339,293,319,302,267,309,422,300,0.224963716,-0.13900135,2692,Westport,,0.867023321,0.177474403,0.18041958,0.322884013,1.107241478,1.675324675,-0.183752418,304.32,2.19,1.0546,0.68,-0.024466669,0.226940029,0.079106779,0.163602183,0.329,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.04
WP_BD_37,4597486.15,328459.966,20.7868596,0.4222473,0.04123,0.19833,4.412253302,144.9486377,0.406,331,297,324,310,281,314,452,329,0.233287858,-0.164948454,2692,Westport,,0.878058484,0.13961039,0.20694259,0.395061728,1.209914647,1.285714286,-0.15750233,313.32,2.19,1.0546,0.68,-0.004049763,0.228496698,0.056184999,0.19643992,0.274,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.095
WP_BD_38,4597479.509,328447.31,21.6039096,0.4379598,0.04543,0.21027,5.48055681,129.6351611,0.39,337,300,329,318,289,334,471,333,0.239473684,-0.1775,2692,Westport,,0.886160254,0.125786164,0.221789883,0.431610942,1.257554901,1.167938931,-0.143636364,324.48,2.19,1.0546,0.68,0.036593011,0.227471593,0.114614995,0.162459869,0.29,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.079
WP_BD_39,4597476.52,328439.666,19.5933192,0.3992946,0.0398,0.20311,6.613690613,119.9784229,0.313,332,293,318,299,267,305,433,305,0.237142857,-0.153129161,2692,Westport,,0.883098921,0.174657534,0.192837466,0.36163522,1.14325976,1.584269663,-0.170498084,318.6,2.19,1.0546,0.68,0.137223586,0.16101149,0.197839336,0.101465714,0.367,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.002
WP_BD_40,4597473.992,328436.447,18.992428,0.387739,0.03721,0.19594,6.727231535,118.5642383,0.374,330,286,315,292,262,308,446,302,0.259887006,-0.172141919,2692,Westport,,0.91228441,0.182130584,0.218579235,0.415873016,1.177646762,1.448598131,-0.148042025,347.64,2.19,1.0546,0.68,0.227763441,0.095371704,0.251989753,0.061624715,0.306,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.063
WP_BD_41,4597608.953,328713.336,18.6623736,0.3813918,0.03657,0.19594,1.562019364,195.4214063,0.297,337,297,324,310,274,301,383,254,0.165905632,-0.083451202,2692,Westport,,0.784329652,0.166112957,0.126470588,0.182098765,0.999676116,2.277777778,-0.237051793,234.96,2.19,1.0546,0.68,0.054722135,0.227329084,0.049870579,0.222900952,0.383,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,0.014
WP_BD_42,4597607.97,328711.805,19.8107832,0.4034766,0.04734,0.23895,3.376648937,195.4214063,0.367,338,303,339,309,291,324,452,301,0.216689098,-0.142857143,2692,Westport,,0.855941098,0.146788991,0.197350993,0.333333333,1.144542773,1.237623762,-0.173674589,306.72,2.19,1.0546,0.68,0.046913894,0.230941857,0.041750788,0.228854948,0.313,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.056
WP_BD_43,4597606.258,328709.267,26.0685464,0.5238182,0.03675,0.14098,6.424232761,195.4214063,0.396,335,296,326,311,279,322,457,314,0.241847826,-0.167305236,2692,Westport,,0.889236618,0.15210356,0.213811421,0.401840491,1.199734653,1.298245614,-0.15291937,329.64,2.19,1.0546,0.68,0.03449954,0.237429517,0.031733526,0.234773874,0.284,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.085
WP_BD_44,4597601.032,328651.277,18.0291488,0.3692144,0.02757,0.15293,8.066235092,142.4214063,0.316,338,304,339,324,295,338,472,317,0.230769231,-0.163995068,2692,Westport,,0.874751787,0.133333333,0.216494845,0.392330383,1.211614935,1.14516129,-0.153363229,323.52,2.19,1.0546,0.68,0.026349348,0.225313852,0.004120781,0.231109497,0.364,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.005
WP_BD_45,4597601.013,328639.811,25.7167404,0.5170527,0.03318,0.12903,9.720665558,121.7348828,0.387,338,300,337,327,305,363,517,360,0.257907543,-0.210772834,2692,Westport,,0.909824112,0.093567251,0.265605875,0.534124629,1.388451074,0.945945946,-0.103986135,355.2,2.19,1.0546,0.68,-0.002163739,0.235363526,0.001831751,0.228072227,0.293,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.076
WP_BD_46,4597597.112,328611.891,25.714312,0.517006,0.03748,0.14576,10.78004465,94.39162109,0.389,344,314,354,346,332,364,536,384,0.235023041,-0.204494382,2692,Westport,,0.880377155,0.059139785,0.261176471,0.514124294,1.420026174,0.82,-0.109634551,328.08,2.19,1.0546,0.68,-0.023750222,0.2297616,-0.008721727,0.229161992,0.291,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.078
WP_BD_47,4597600.733,328591.167,26.9278464,0.5403432,0.05598,0.20789,5.015022098,78.07814453,0.44,339,301,341,330,307,365,532,365,0.2681764,-0.218785796,2692,Westport,,0.922702984,0.097982709,0.277310924,0.560117302,1.404563084,0.939086294,-0.093696763,377.04,2.19,1.0546,0.68,0.005583209,0.219069828,0.033174241,0.216935486,0.24,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.129
WP_BD_48,4597606.064,328573.702,10.3094264,0.2207582,0.03276,0.3178,11.91550103,0,0.315,337,295,322,310,277,309,429,288,0.21529745,-0.142476698,2692,Westport,,0.854045807,0.148026316,0.185082873,0.332298137,1.146107403,1.404494382,-0.179732314,289.08,2.19,1.0546,0.68,0.136013897,0.167926508,0.203265219,0.106777922,0.365,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.004
WP_BD_49,4597607.304,328569.14,13.26026,0.277505,0.03897,0.29391,11.06392303,0,0.345,356,335,403,416,392,458,638,443,0.238834951,-0.225744476,2692,Westport,,0.885394306,0.023913043,0.311408016,0.583126551,1.53991466,0.609589041,-0.072674419,371.4,2.19,1.0546,0.68,0.231051098,0.100862823,0.260520242,0.066793617,0.335,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.034
