BD_ID,Northing,Easting,PC,LOI,CD,BD,Dc,De,Elev_m,CostalBlue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2,NDVI,NDWI,dis_inlet,Location,Platform,MSAVI,VARI,BNDVI,CIG,CVI,GARI,GBNDVI,MCARI1,tidal_heigh,tidal_range,MHW_old,NDWI15m,NDVI15m,NDWI30m,NDVI30m,H_old,Location1,POC_Modis(20),IH,POC_2019,PIC_20years,PIC_2019,TPC_2019,SST_2019,POC/PIC_Ratio_2019,PIC_Modis2019,POC/PIC_Ratio,PIC_2018,PIC_2020,UVVR_Median,UVVR_Mean,NDWI60m,NDVI60m,MHW,H
WP_BD_11,4597335.973,328695.061,28.7318356,0.5750353,0.04188,0.14576,13.64212774,405.9985352,0.432,332,299,330,319,295,345,502,341,0.259723965,-0.206730769,2692,Westport,,0.912109288,0.107361963,0.253433208,0.521212121,1.359871442,1.047619048,-0.112290009,352.68,2.19,1.0546,0.68,-0.061976069,0.248165369,-0.063583615,0.256349903,0.248,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.121
WP_BD_12,4597341.288,328684.91,29.212664,0.584282,0.04328,0.14815,12.21792856,462.9389648,0.439,345,323,374,376,351,414,576,403,0.242718447,-0.212631579,2692,Westport,,0.89041841,0.05721393,0.281423804,0.540106952,1.445394492,0.756521739,-0.09505106,359.88,2.19,1.0546,0.68,-0.052612761,0.248522464,-0.056574162,0.251532975,0.241,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.128
WP_BD_13,4597345.638,328679.492,25.2013632,0.5071416,0.04817,0.19116,5.302978357,462.9389648,0.358,341,311,350,338,325,376,557,398,0.263038549,-0.228224917,2692,Westport,,0.916298928,0.068681319,0.283410138,0.591428571,1.477755102,0.873303167,-0.085385878,373.08,2.19,1.0546,0.68,-0.052795401,0.253193139,-0.049459958,0.248940834,0.322,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.047
WP_BD_14,4597348.648,328666.297,29.7195756,0.5940303,0.04332,0.14576,8.64855879,467.767334,0.433,346,319,368,357,357,393,580,401,0.237993597,-0.223628692,2692,Westport,,0.884278786,0.027093596,0.290322581,0.576086957,1.528975662,0.696,-0.08445146,338.28,2.19,1.0546,0.68,-0.059455933,0.258715485,-0.048366217,0.247214398,0.247,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.122
WP_BD_15,4597353.438,328648.176,28.0890532,0.5626741,0.04161,0.14815,11.13217039,527.1630859,0.463,343,312,353,341,329,371,540,388,0.242807825,-0.209406495,2692,Westport,,0.890520357,0.064864865,0.267605634,0.529745042,1.425739714,0.833333333,-0.10373444,341.28,2.19,1.0546,0.68,-0.056861769,0.242273621,-0.055968683,0.245394915,0.217,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.152
WP_BD_16,4597354.412,328642.028,15.6763672,0.3239686,0.03409,0.21744,5.319732042,527.1630859,0.303,343,309,346,339,324,353,503,360,0.216444982,-0.184923439,2692,Westport,,0.855637019,0.060941828,0.238916256,0.453757225,1.361321795,0.825581395,-0.131260794,292.08,2.19,1.0546,0.68,-0.045691363,0.240979311,-0.053402627,0.243431948,0.377,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,0.008
WP_BD_17,4597357.256,328625.685,29.7843416,0.5952758,0.04484,0.15054,10.11363603,308.9162598,0.44,351,322,379,386,370,425,625,445,0.256281407,-0.24501992,2692,Westport,,0.9078068,0.021077283,0.319957761,0.649076517,1.609916389,0.673469388,-0.057315234,381.24,2.19,1.0546,0.68,-0.051247609,0.24140869,-0.050294169,0.238171151,0.24,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.129
WP_BD_18,4597362.251,328612.851,23.1401404,0.4675027,0.02986,0.12903,7.036127746,290.8453369,0.431,357,347,415,422,409,475,695,496,0.259057971,-0.252252252,2692,Westport,,0.911336591,0.012578616,0.333973129,0.674698795,1.650486282,0.637426901,-0.0459849,421.2,2.19,1.0546,0.68,-0.052990876,0.242762728,-0.031675001,0.235126407,0.249,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.12
WP_BD_19,4597360.385,328599.518,25.6229948,0.5152499,0.04102,0.1601,4.805592476,284.1885986,0.424,336,301,331,321,308,345,496,353,0.233830846,-0.199516324,2692,Westport,,0.878795051,0.068047337,0.244667503,0.498489426,1.394364783,0.918604651,-0.120567376,306.6,2.19,1.0546,0.68,-0.033679837,0.23564078,-0.019822663,0.233472708,0.256,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.113
WP_BD_20,4597374.849,328566.801,18.0816636,0.3702243,0.03975,0.21983,1.848656479,99.88220215,0.319,338,296,329,312,289,329,466,324,0.234437086,-0.172327044,2692,Westport,,0.879575646,0.124223602,0.223097113,0.416413374,1.244205061,1.107692308,-0.145737855,317.28,2.19,1.0546,0.68,0.042613582,0.21616325,0.024857848,0.225303746,0.361,Westport,461,0.89,469,0.25562,198.9727572,667.9727572,13.88499928,2.357106604,0.001988,2.775653924,0.1946,0.2172,0.150538,0.246243,,,0.311,-0.008
