PC,LOI,CD,BD,Dc,De,Elev_m,CostalBlue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2,NDVI,NDWI,dis_inlet,MSAVI,VARI,BNDVI,CIG,CVI,GARI,GBNDVI,MCARI1,tidal_heigh,tidal_range,MHW_old,NDWI15m,NDVI15m,NDWI30m,NDVI30m,Location
18.0816636,0.3702243,0.03975,0.21983,1.848656479,99.88220215,0.319,338,296,329,312,289,329,466,324,0.234437086,-0.172327044,2692,0.879575646,0.124223602,0.223097113,0.416413374,1.244205061,1.107692308,-0.145737855,317.28,2.19,1.0546,0.68,0.042613582,0.21616325,0.024857848,0.225303746,Westport
28.6009828,0.5725189,0.04579,0.1601,21.83366055,483.1290283,0.674,334,296,330,313,273,359,520,380,0.31147541,-0.223529412,2692,0.974760228,0.185667752,0.274509804,0.575757576,1.303581267,1.275449102,-0.092495637,444.6,2.19,1.0546,0.68,-0.031093608,0.268799094,-0.043240959,0.281435426,Westport
22.7796816,0.4605708,0.04518,0.19833,2.65712567,473.47229,0.683,343,308,352,340,321,371,543,368,0.256944444,-0.213407821,2692,0.908617266,0.084931507,0.276145711,0.542613636,1.406758458,0.87254902,-0.097256858,368.04,2.19,1.0546,0.68,-0.01307715,0.244008542,0.02818735,0.219290444,Westport
29.5647508,0.5910529,0.04451,0.15054,6.555004669,451.47229,0.677,354,329,374,390,367,431,613,445,0.251020408,-0.242147923,2692,0.901109119,0.016990291,0.3014862,0.639037433,1.608360262,0.725631769,-0.068389058,365.16,2.19,1.0546,0.68,0.025527453,0.233382464,0.07176712,0.194313872,Westport
24.9595476,0.5024913,0.04413,0.17682,7.735149286,440.4013672,0.727,341,303,347,338,315,373,543,401,0.265734266,-0.220224719,2692,0.919665243,0.08913649,0.283687943,0.564841499,1.420533349,0.884615385,-0.089689858,378.24,2.19,1.0546,0.68,0.04966307,0.204137801,0.080604056,0.18066555,Westport
19.31098,0.393865,0.04753,0.24612,8.256006907,435.572998,0.59,346,317,376,362,334,394,577,389,0.266739846,-0.210912907,2692,0.920932627,0.106870229,0.29082774,0.534574468,1.363159235,0.844036697,-0.091338583,415.44,2.19,1.0546,0.68,0.115346909,0.158497787,0.077829107,0.178107007,Westport
17.47395,0.3585375,0.03758,0.21505,4.779919723,427.9162598,0.573,337,295,325,306,275,308,431,296,0.220963173,-0.14021164,2692,0.861681128,0.163934426,0.187327824,0.326153846,1.122130178,1.465116279,-0.179828735,302.64,2.19,1.0546,0.68,0.150873762,0.139498254,0.069497134,0.177170196,Westport
16.028454,0.3307395,0.03792,0.23656,2.640991281,431.7446289,0.545,336,298,329,308,275,322,463,315,0.254742547,-0.169191919,2692,0.905787123,0.176470588,0.216819974,0.407294833,1.176310271,1.414414414,-0.150458716,354.96,2.19,1.0546,0.68,0.095542474,0.168609743,0.072793355,0.182657606,Westport
21.356166,0.4331955,0.05001,0.23417,1.716153565,453.47229,0.343,342,305,351,344,317,369,532,369,0.253239105,-0.204983012,2692,0.903909054,0.093663912,0.271206691,0.515669516,1.368852526,0.875647668,-0.104377104,362.64,2.19,1.0546,0.68,0.038633504,0.227557946,0.044434906,0.212038974,Westport
29.7887096,0.5953598,0.04983,0.16726,8.887353044,396.1290283,0.442,338,299,347,345,320,389,545,375,0.260115607,-0.221973094,2692,0.912621683,0.073369565,0.291469194,0.570605187,1.448396715,0.808219178,-0.084802687,366.12,2.19,1.0546,0.68,-0.087694737,0.244715563,-0.024565516,0.235085865,Westport
